Seed,Score,Natural Negative Jokers,Natural Negative Jokers Desired,Turtle Bean,Joker Stencil,Negative_Joker Stencil,Oops All 6s,Negative_Oops All 6s
HAHA1M2F,1,0,0,0,0,0,0,0
HAHA1M9I,1,0,0,0,0,0,0,0
HAHA1M9O,1,0,0,0,0,0,0,0
HAHA1MB6,1,0,0,0,0,0,0,0
HAHA1MGX,1,0,0,0,0,0,0,0
HAHA1MIX,1,0,0,0,0,0,0,0
HAHA1MOT,1,0,0,0,0,0,0,0
HAHA1MRT,1,0,0,0,0,0,0,0
HAHA1MRV,1,0,0,0,0,0,0,0
HAHA1MRX,1,0,0,0,0,0,0,0
HAHA1MTA,1,0,0,0,0,0,0,0
HAHA1MTN,1,0,0,0,0,0,0,0
HAHA1MZ1,1,0,0,0,0,0,0,0
HAHA1N35,1,0,0,0,0,0,0,0
HAHA1N5F,1,0,0,0,0,0,0,0
HAHA1N77,1,0,0,0,0,0,0,0
HAHA1NCX,1,0,0,0,0,0,0,0
HAHA1NEI,1,0,0,0,0,0,0,0
HAHA1NEK,1,0,0,0,0,0,0,0
HAHA1NG6,1,0,0,0,0,0,0,0
HAHA1NI4,1,0,0,0,0,0,0,0
HAHA1NIM,1,0,0,0,0,0,0,0
HAHA1NIU,1,0,0,0,0,0,0,0
HAHA1NLG,1,0,0,0,0,0,0,0
HAHA1NLY,1,0,0,0,0,0,0,0
HAHA1NQK,1,0,0,0,0,0,0,0
HAHA1NTV,1,0,0,0,0,0,0,0
HAHA1NVO,1,0,0,0,0,0,0,0
HAHA1NZE,1,0,0,0,0,0,0,0
HAHA1O1A,1,0,0,0,0,0,0,0
HAHA1O2Q,1,0,0,0,0,0,0,0
HAHA1O2X,1,0,0,0,0,0,0,0
HAHA1O9L,1,0,0,0,0,0,0,0
HAHA1ODL,1,0,0,0,0,0,0,0
HAHA1OFM,1,0,0,0,0,0,0,0
HAHA1ONL,1,0,0,0,0,0,0,0
HAHA1OQ2,1,0,0,0,0,0,0,0
HAHA1ORL,1,0,0,0,0,0,0,0
HAHA1OU,1,0,0,0,0,0,0,0
HAHA1OU6,1,0,0,0,0,0,0,0
HAHA1OWA,1,0,0,0,0,0,0,0
HAHA1P2P,1,0,0,0,0,0,0,0
HAHA1P4W,1,0,0,0,0,0,0,0
HAHA1P6J,1,0,0,0,0,0,0,0
HAHA1P9,1,0,0,0,0,0,0,0
HAHA1P9J,1,0,0,0,0,0,0,0
HAHA1PGB,1,0,0,0,0,0,0,0
HAHA1PGI,1,0,0,0,0,0,0,0
HAHA1PLP,1,0,0,0,0,0,0,0
HAHA1PO8,1,0,0,0,0,0,0,0
HAHA1PP3,1,0,0,0,0,0,0,0
HAHA1PPE,1,0,0,0,0,0,0,0
HAHA1PU,1,0,0,0,0,0,0,0
HAHA1PW5,1,0,0,0,0,0,0,0
HAHA1PZ8,1,0,0,0,0,0,0,0
HAHA1Q12,1,0,0,0,0,0,0,0
HAHA1Q3E,1,0,0,0,0,0,0,0
HAHA1Q7X,1,0,0,0,0,0,0,0
HAHA1QD5,1,0,0,0,0,0,0,0
HAHA1QDY,1,0,0,0,0,0,0,0
HAHA1QF,1,0,0,0,0,0,0,0
HAHA1QF8,1,0,0,0,0,0,0,0
HAHA1QL1,1,0,0,0,0,0,0,0
HAHA1QME,1,0,0,0,0,0,0,0
HAHA1QOV,1,0,0,0,0,0,0,0
HAHA1QOZ,1,0,0,0,0,0,0,0
HAHA1QTH,1,0,0,0,0,0,0,0
HAHA1QUK,1,0,0,0,0,0,0,0
HAHA1QV,1,0,0,0,0,0,0,0
HAHA1QVO,1,0,0,0,0,0,0,0
HAHA1QY7,1,0,0,0,0,0,0,0
HAHA1QYS,1,0,0,0,0,0,0,0
HAHA1QZU,1,0,0,0,0,0,0,0
HAHA1R28,1,0,0,0,0,0,0,0
HAHA1R2J,1,0,0,0,0,0,0,0
HAHA1R5T,1,0,0,0,0,0,0,0
HAHA1R7S,1,0,0,0,0,0,0,0
HAHA1RBQ,1,0,0,0,0,0,0,0
HAHA1RE8,1,0,0,0,0,0,0,0
HAHA1REZ,1,0,0,0,0,0,0,0
HAHA1RF7,1,0,0,0,0,0,0,0
HAHA1RFW,1,0,0,0,0,0,0,0
HAHA1RIE,1,0,0,0,0,0,0,0
HAHA1RJA,1,0,0,0,0,0,0,0
HAHA1RLO,1,0,0,0,0,0,0,0
HAHA1RNH,1,0,0,0,0,0,0,0
HAHA1RNT,1,0,0,0,0,0,0,0
HAHA1RO7,1,0,0,0,0,0,0,0
HAHA1ROB,1,0,0,0,0,0,0,0
HAHA1RP3,1,0,0,0,0,0,0,0
HAHA1RTS,1,0,0,0,0,0,0,0
HAHA1S4,1,0,0,0,0,0,0,0
HAHA1S55,1,0,0,0,0,0,0,0
HAHA1S87,1,0,0,0,0,0,0,0
HAHA1S9Y,1,0,0,0,0,0,0,0
HAHA1SHL,1,0,0,0,0,0,0,0
HAHA1SWD,1,0,0,0,0,0,0,0
HAHA1T1C,1,0,0,0,0,0,0,0
HAHA1T6D,1,0,0,0,0,0,0,0
HAHA1T8S,1,0,0,0,0,0,0,0
HAHA1TC1,1,0,0,0,0,0,0,0
HAHA1TCE,1,0,0,0,0,0,0,0
HAHA1TCP,1,0,0,0,0,0,0,0
HAHA1TCT,1,0,0,0,0,0,0,0
HAHA1TDO,1,0,0,0,0,0,0,0
HAHA1TE,1,0,0,0,0,0,0,0
HAHA1TJO,1,0,0,0,0,0,0,0
HAHA1TUR,1,0,0,0,0,0,0,0
HAHA1TVB,1,0,0,0,0,0,0,0
HAHA1TZ8,1,0,0,0,0,0,0,0
HAHA1U14,1,0,0,0,0,0,0,0
HAHA1U2U,1,0,0,0,0,0,0,0
HAHA1UAD,1,0,0,0,0,0,0,0
HAHA1UBJ,1,0,0,0,0,0,0,0
HAHA1UD8,1,0,0,0,0,0,0,0
HAHA1UGN,1,0,0,0,0,0,0,0
HAHA1UL2,1,0,0,0,0,0,0,0
HAHA1UN,1,0,0,0,0,0,0,0
HAHA1UN7,1,0,0,0,0,0,0,0
HAHA1UOZ,1,0,0,0,0,0,0,0
HAHA1UPT,1,0,0,0,0,0,0,0
HAHA1UQX,1,0,0,0,0,0,0,0
HAHA1USQ,1,0,0,0,0,0,0,0
HAHA1UXP,1,0,0,0,0,0,0,0
HAHA1V3P,1,0,0,0,0,0,0,0
HAHA1V4D,1,0,0,0,0,0,0,0
HAHA1V8C,1,0,0,0,0,0,0,0
HAHA1VC6,1,0,0,0,0,0,0,0
HAHA1VHP,1,0,0,0,0,0,0,0
HAHA1VKO,1,0,0,0,0,0,0,0
HAHA1VSS,1,0,0,0,0,0,0,0
HAHA1VVU,1,0,0,0,0,0,0,0
HAHA1VXV,1,0,0,0,0,0,0,0
HAHA1VYD,1,0,0,0,0,0,0,0
HAHA1VYP,1,0,0,0,0,0,0,0
HAHA1W3L,1,0,0,0,0,0,0,0
HAHA1W4J,1,0,0,0,0,0,0,0
HAHA1W69,1,0,0,0,0,0,0,0
HAHA1W6L,1,0,0,0,0,0,0,0
HAHA1W6T,1,0,0,0,0,0,0,0
HAHA1W8W,1,0,0,0,0,0,0,0
HAHA1WBF,1,0,0,0,0,0,0,0
HAHA1WCF,1,0,0,0,0,0,0,0
HAHA1WKY,1,0,0,0,0,0,0,0
HAHA1WL7,1,0,0,0,0,0,0,0
HAHA1WLJ,1,0,0,0,0,0,0,0
HAHA1WMR,1,0,0,0,0,0,0,0
HAHA1WOT,1,0,0,0,0,0,0,0
HAHA1WS9,1,0,0,0,0,0,0,0
HAHA1WWH,1,0,0,0,0,0,0,0
HAHA1X3L,1,0,0,0,0,0,0,0
HAHA1X76,1,0,0,0,0,0,0,0
HAHA1X9B,1,0,0,0,0,0,0,0
HAHA1XCY,1,0,0,0,0,0,0,0
HAHA1XE5,1,0,0,0,0,0,0,0
HAHA1XEO,1,0,0,0,0,0,0,0
HAHA1XG,1,0,0,0,0,0,0,0
HAHA1XIX,1,0,0,0,0,0,0,0
HAHA1XJ2,1,0,0,0,0,0,0,0
HAHA1XK9,1,0,0,0,0,0,0,0
HAHA1XO2,1,0,0,0,0,0,0,0
HAHA1XRT,1,0,0,0,0,0,0,0
HAHA1Y71,1,0,0,0,0,0,0,0
HAHA1Y75,1,0,0,0,0,0,0,0
HAHA1YBY,1,0,0,0,0,0,0,0
HAHA1YG7,1,0,0,0,0,0,0,0
HAHA1YIQ,1,0,0,0,0,0,0,0
HAHA1YJH,1,0,0,0,0,0,0,0
HAHA1YJP,1,0,0,0,0,0,0,0
HAHA1YKH,1,0,0,0,0,0,0,0
HAHA1YNU,1,0,0,0,0,0,0,0
HAHA1YR4,1,0,0,0,0,0,0,0
HAHA1YTT,1,0,0,0,0,0,0,0
HAHA1YWK,1,0,0,0,0,0,0,0
HAHA1Z37,1,0,0,0,0,0,0,0
HAHA1Z88,1,0,0,0,0,0,0,0
HAHA1ZEV,1,0,0,0,0,0,0,0
HAHA1ZJY,1,0,0,0,0,0,0,0
HAHA1ZPA,1,0,0,0,0,0,0,0
HAHA1ZUX,1,0,0,0,0,0,0,0
HAHA1ZV9,1,0,0,0,0,0,0,0
HAHA1ZWY,1,0,0,0,0,0,0,0
HAHA1ZYT,1,0,0,0,0,0,0,0
HAHA1ZZW,1,0,0,0,0,0,0,0
HAHA1ZZZ,1,0,0,0,0,0,0,0
HAHA211M,1,0,0,0,0,0,0,0
HAHA212S,1,0,0,0,0,0,0,0
HAHA2181,1,0,0,0,0,0,0,0
HAHA21A3,1,0,0,0,0,0,0,0
HAHA21AO,1,0,0,0,0,0,0,0
HAHA21BJ,1,0,0,0,0,0,0,0
HAHA21CK,1,0,0,0,0,0,0,0
HAHA21JY,1,0,0,0,0,0,0,0
HAHA21N7,1,0,0,0,0,0,0,0
HAHA21NY,1,0,0,0,0,0,0,0
HAHA21RK,1,0,0,0,0,0,0,0
HAHA21TM,1,0,0,0,0,0,0,0
HAHA21Z4,1,0,0,0,0,0,0,0
HAHA21ZN,1,0,0,0,0,0,0,0
HAHA221G,1,0,0,0,0,0,0,0
HAHA22A1,1,0,0,0,0,0,0,0
HAHA22OY,1,0,0,0,0,0,0,0
HAHA22Q5,1,0,0,0,0,0,0,0
HAHA22SL,1,0,0,0,0,0,0,0
HAHA231J,1,0,0,0,0,0,0,0
HAHA2321,1,0,0,0,0,0,0,0
HAHA234B,1,0,0,0,0,0,0,0
HAHA234L,1,0,0,0,0,0,0,0
HAHA234N,1,0,0,0,0,0,0,0
HAHA234Z,1,0,0,0,0,0,0,0
HAHA235R,1,0,0,0,0,0,0,0
HAHA2364,1,0,0,0,0,0,0,0
HAHA23AO,1,0,0,0,0,0,0,0
HAHA23DZ,1,0,0,0,0,0,0,0
HAHA23JJ,1,0,0,0,0,0,0,0
HAHA23MZ,1,0,0,0,0,0,0,0
HAHA23PL,1,0,0,0,0,0,0,0
HAHA23S,1,0,0,0,0,0,0,0
HAHA23VJ,1,0,0,0,0,0,0,0
HAHA23ZB,1,0,0,0,0,0,0,0
HAHA23ZP,1,0,0,0,0,0,0,0
HAHA242W,1,0,0,0,0,0,0,0
HAHA2432,1,0,0,0,0,0,0,0
HAHA245H,1,0,0,0,0,0,0,0
HAHA24CI,1,0,0,0,0,0,0,0
HAHA24KT,1,0,0,0,0,0,0,0
HAHA24QL,1,0,0,0,0,0,0,0
HAHA24UZ,1,0,0,0,0,0,0,0
HAHA24VN,1,0,0,0,0,0,0,0
HAHA24VT,1,0,0,0,0,0,0,0
HAHA24Y5,1,0,0,0,0,0,0,0
HAHA254K,1,0,0,0,0,0,0,0
HAHA254Q,1,0,0,0,0,0,0,0
HAHA257U,1,0,0,0,0,0,0,0
HAHA257W,1,0,0,0,0,0,0,0
HAHA2582,1,0,0,0,0,0,0,0
HAHA259B,1,0,0,0,0,0,0,0
HAHA25AP,1,0,0,0,0,0,0,0
HAHA25G3,1,0,0,0,0,0,0,0
HAHA25HF,1,0,0,0,0,0,0,0
HAHA25K1,1,0,0,0,0,0,0,0
HAHA25PM,1,0,0,0,0,0,0,0
HAHA25V,1,0,0,0,0,0,0,0
HAHA25VX,1,0,0,0,0,0,0,0
HAHA25WA,1,0,0,0,0,0,0,0
HAHA25YC,1,0,0,0,0,0,0,0
HAHA262Z,1,0,0,0,0,0,0,0
HAHA266A,1,0,0,0,0,0,0,0
HAHA268J,1,0,0,0,0,0,0,0
HAHA26H7,1,0,0,0,0,0,0,0
HAHA26IJ,1,0,0,0,0,0,0,0
HAHA26NV,1,0,0,0,0,0,0,0
HAHA26Q1,1,0,0,0,0,0,0,0
HAHA26SP,1,0,0,0,0,0,0,0
HAHA273,1,0,0,0,0,0,0,0
HAHA273I,1,0,0,0,0,0,0,0
HAHA27CC,1,0,0,0,0,0,0,0
HAHA27FU,1,0,0,0,0,0,0,0
HAHA27I3,1,0,0,0,0,0,0,0
HAHA27JW,1,0,0,0,0,0,0,0
HAHA27KD,1,0,0,0,0,0,0,0
HAHA27OD,1,0,0,0,0,0,0,0
HAHA27V4,1,0,0,0,0,0,0,0
HAHA27VS,1,0,0,0,0,0,0,0
HAHA27WV,1,0,0,0,0,0,0,0
HAHA27XA,1,0,0,0,0,0,0,0
HAHA27YE,1,0,0,0,0,0,0,0
HAHA2836,1,0,0,0,0,0,0,0
HAHA2837,1,0,0,0,0,0,0,0
HAHA284V,1,0,0,0,0,0,0,0
HAHA2858,1,0,0,0,0,0,0,0
HAHA2876,1,0,0,0,0,0,0,0
HAHA288S,1,0,0,0,0,0,0,0
HAHA28EH,1,0,0,0,0,0,0,0
HAHA28LG,1,0,0,0,0,0,0,0
HAHA28PM,1,0,0,0,0,0,0,0
HAHA28T8,1,0,0,0,0,0,0,0
HAHA28U,1,0,0,0,0,0,0,0
HAHA28V8,1,0,0,0,0,0,0,0
HAHA28X3,1,0,0,0,0,0,0,0
HAHA28YO,1,0,0,0,0,0,0,0
HAHA294G,1,0,0,0,0,0,0,0
HAHA294O,1,0,0,0,0,0,0,0
HAHA29AS,1,0,0,0,0,0,0,0
HAHA29BI,1,0,0,0,0,0,0,0
HAHA29FB,1,0,0,0,0,0,0,0
HAHA29HJ,1,0,0,0,0,0,0,0
HAHA29HN,1,0,0,0,0,0,0,0
HAHA29MR,1,0,0,0,0,0,0,0
HAHA29P9,1,0,0,0,0,0,0,0
HAHA29SQ,1,0,0,0,0,0,0,0
HAHA29TR,1,0,0,0,0,0,0,0
HAHA29UV,1,0,0,0,0,0,0,0
HAHA2A3J,1,0,0,0,0,0,0,0
HAHA2A9P,1,0,0,0,0,0,0,0
HAHA2AB1,1,0,0,0,0,0,0,0
HAHA2ACV,1,0,0,0,0,0,0,0
HAHA2ADX,1,0,0,0,0,0,0,0
HAHA2AOJ,1,0,0,0,0,0,0,0
HAHA2AVS,1,0,0,0,0,0,0,0
HAHA2B64,1,0,0,0,0,0,0,0
HAHA2B6P,1,0,0,0,0,0,0,0
HAHA2B8B,1,0,0,0,0,0,0,0
HAHA2BDM,1,0,0,0,0,0,0,0
HAHA2BH1,1,0,0,0,0,0,0,0
HAHA2BHE,1,0,0,0,0,0,0,0
HAHA2BIC,1,0,0,0,0,0,0,0
HAHA2BKU,1,0,0,0,0,0,0,0
HAHA2BL8,1,0,0,0,0,0,0,0
HAHA2BMR,1,0,0,0,0,0,0,0
HAHA2BO5,1,0,0,0,0,0,0,0
HAHA2BOG,1,0,0,0,0,0,0,0
HAHA2BPJ,1,0,0,0,0,0,0,0
HAHA2BUP,1,0,0,0,0,0,0,0
HAHA2CGK,1,0,0,0,0,0,0,0
HAHA2CIA,1,0,0,0,0,0,0,0
HAHA2CO2,1,0,0,0,0,0,0,0
HAHA2CUG,1,0,0,0,0,0,0,0
HAHA2CWU,1,0,0,0,0,0,0,0
HAHA2CX7,1,0,0,0,0,0,0,0
HAHA2CXT,1,0,0,0,0,0,0,0
HAHA2CY9,1,0,0,0,0,0,0,0
HAHA2CZZ,1,0,0,0,0,0,0,0
HAHA2D9A,1,0,0,0,0,0,0,0
HAHA2DAO,1,0,0,0,0,0,0,0
HAHA2DC8,1,0,0,0,0,0,0,0
HAHA2DG3,1,0,0,0,0,0,0,0
HAHA2DI6,1,0,0,0,0,0,0,0
HAHA2DKH,1,0,0,0,0,0,0,0
HAHA2DOG,1,0,0,0,0,0,0,0
HAHA2DVB,1,0,0,0,0,0,0,0
HAHA2DWK,1,0,0,0,0,0,0,0
HAHA2DXM,1,0,0,0,0,0,0,0
HAHA2DXZ,1,0,0,0,0,0,0,0
HAHA2DYG,1,0,0,0,0,0,0,0
HAHA2E1D,1,0,0,0,0,0,0,0
HAHA2E42,1,0,0,0,0,0,0,0
HAHA2E7X,1,0,0,0,0,0,0,0
HAHA2EA3,1,0,0,0,0,0,0,0
HAHA2ECH,1,0,0,0,0,0,0,0
HAHA2ED3,1,0,0,0,0,0,0,0
HAHA2EDL,1,0,0,0,0,0,0,0
HAHA2EES,1,0,0,0,0,0,0,0
HAHA2EGO,1,0,0,0,0,0,0,0
HAHA2ENZ,1,0,0,0,0,0,0,0
HAHA2EO9,1,0,0,0,0,0,0,0
HAHA2ER4,1,0,0,0,0,0,0,0
HAHA2ETR,1,0,0,0,0,0,0,0
HAHA2EUK,1,0,0,0,0,0,0,0
HAHA2EUP,1,0,0,0,0,0,0,0
HAHA2EXK,1,0,0,0,0,0,0,0
HAHA2EZZ,1,0,0,0,0,0,0,0
HAHA2F1C,1,0,0,0,0,0,0,0
HAHA2F6B,1,0,0,0,0,0,0,0
HAHA2F6Q,1,0,0,0,0,0,0,0
HAHA2F9K,1,0,0,0,0,0,0,0
HAHA2FC4,1,0,0,0,0,0,0,0
HAHA2FEK,1,0,0,0,0,0,0,0
HAHA2FF3,1,0,0,0,0,0,0,0
HAHA2FFB,1,0,0,0,0,0,0,0
HAHA2FJL,1,0,0,0,0,0,0,0
HAHA2FKW,1,0,0,0,0,0,0,0
HAHA2FNF,1,0,0,0,0,0,0,0
HAHA2FOS,1,0,0,0,0,0,0,0
HAHA2FU7,1,0,0,0,0,0,0,0
HAHA2FWG,1,0,0,0,0,0,0,0
HAHA2G2J,1,0,0,0,0,0,0,0
HAHA2G2K,1,0,0,0,0,0,0,0
HAHA2G8S,1,0,0,0,0,0,0,0
HAHA2GC,1,0,0,0,0,0,0,0
HAHA2GEL,1,0,0,0,0,0,0,0
HAHA2GF2,1,0,0,0,0,0,0,0
HAHA2GG2,1,0,0,0,0,0,0,0
HAHA2GHJ,1,0,0,0,0,0,0,0
HAHA2GM8,1,0,0,0,0,0,0,0
HAHA2GNQ,1,0,0,0,0,0,0,0
HAHA2GOY,1,0,0,0,0,0,0,0
HAHA2GPU,1,0,0,0,0,0,0,0
HAHA2GWB,1,0,0,0,0,0,0,0
HAHA2GYV,1,0,0,0,0,0,0,0
HAHA2H29,1,0,0,0,0,0,0,0
HAHA2H7M,1,0,0,0,0,0,0,0
HAHA2HB4,1,0,0,0,0,0,0,0
HAHA2HCK,1,0,0,0,0,0,0,0
HAHA2HE4,1,0,0,0,0,0,0,0
HAHA2HE5,1,0,0,0,0,0,0,0
HAHA2HID,1,0,0,0,0,0,0,0
HAHA2HJW,1,0,0,0,0,0,0,0
HAHA2HKE,1,0,0,0,0,0,0,0
HAHA2HKQ,1,0,0,0,0,0,0,0
HAHA2HR4,1,0,0,0,0,0,0,0
HAHA2HZ2,1,0,0,0,0,0,0,0
HAHA2HZM,1,0,0,0,0,0,0,0
HAHA2HZZ,1,0,0,0,0,0,0,0
HAHA2I23,1,0,0,0,0,0,0,0
HAHA2I37,1,0,0,0,0,0,0,0
HAHA2I52,1,0,0,0,0,0,0,0
HAHA2I6D,1,0,0,0,0,0,0,0
HAHA2I6O,1,0,0,0,0,0,0,0
HAHA2I86,1,0,0,0,0,0,0,0
HAHA2IC8,1,0,0,0,0,0,0,0
HAHA2IFT,1,0,0,0,0,0,0,0
HAHA2IN1,1,0,0,0,0,0,0,0
HAHA2IOC,1,0,0,0,0,0,0,0
HAHA2IPH,1,0,0,0,0,0,0,0
HAHA2IQX,1,0,0,0,0,0,0,0
HAHA2IST,1,0,0,0,0,0,0,0
HAHA2ITG,1,0,0,0,0,0,0,0
HAHA2ITJ,1,0,0,0,0,0,0,0
HAHA2IVX,1,0,0,0,0,0,0,0
HAHA2IX8,1,0,0,0,0,0,0,0
HAHA2J2W,1,0,0,0,0,0,0,0
HAHA2J46,1,0,0,0,0,0,0,0
HAHA2J4J,1,0,0,0,0,0,0,0
HAHA2J7I,1,0,0,0,0,0,0,0
HAHA2J8C,1,0,0,0,0,0,0,0
HAHA2J9C,1,0,0,0,0,0,0,0
HAHA2JEA,1,0,0,0,0,0,0,0
HAHA2JXI,1,0,0,0,0,0,0,0
HAHA2JY2,1,0,0,0,0,0,0,0
HAHA2JYO,1,0,0,0,0,0,0,0
HAHA2JYZ,1,0,0,0,0,0,0,0
HAHA2JZF,1,0,0,0,0,0,0,0
HAHA2K5G,1,0,0,0,0,0,0,0
HAHA2K7,1,0,0,0,0,0,0,0
HAHA2KBK,1,0,0,0,0,0,0,0
HAHA2KG4,1,0,0,0,0,0,0,0
HAHA2KIP,1,0,0,0,0,0,0,0
HAHA2KLD,1,0,0,0,0,0,0,0
HAHA2KMK,1,0,0,0,0,0,0,0
HAHA2KMS,1,0,0,0,0,0,0,0
HAHA2KRK,1,0,0,0,0,0,0,0
HAHA2KV9,1,0,0,0,0,0,0,0
HAHA2KWU,1,0,0,0,0,0,0,0
HAHA2KY7,1,0,0,0,0,0,0,0
HAHA2L3E,1,0,0,0,0,0,0,0
HAHA2L5E,1,0,0,0,0,0,0,0
HAHA2L6S,1,0,0,0,0,0,0,0
HAHA2L7U,1,0,0,0,0,0,0,0
HAHA2LC9,1,0,0,0,0,0,0,0
HAHA2LFQ,1,0,0,0,0,0,0,0
HAHA2LMG,1,0,0,0,0,0,0,0
HAHA2LMU,1,0,0,0,0,0,0,0
HAHA2LNY,1,0,0,0,0,0,0,0
HAHA2LOJ,1,0,0,0,0,0,0,0
HAHA2LTI,1,0,0,0,0,0,0,0
HAHA2LXE,1,0,0,0,0,0,0,0
HAHA2LYS,1,0,0,0,0,0,0,0
HAHA2M2S,1,0,0,0,0,0,0,0
HAHA2M54,1,0,0,0,0,0,0,0
HAHA2M66,1,0,0,0,0,0,0,0
HAHA2M9A,1,0,0,0,0,0,0,0
HAHA2M9G,1,0,0,0,0,0,0,0
HAHA2MDP,1,0,0,0,0,0,0,0
HAHA2MF9,1,0,0,0,0,0,0,0
HAHA2MFN,1,0,0,0,0,0,0,0
HAHA2MGT,1,0,0,0,0,0,0,0
HAHA2MJQ,1,0,0,0,0,0,0,0
HAHA2MNL,1,0,0,0,0,0,0,0
HAHA2MQ8,1,0,0,0,0,0,0,0
HAHA2MV6,1,0,0,0,0,0,0,0
HAHA2MZZ,1,0,0,0,0,0,0,0
HAHA2N5Y,1,0,0,0,0,0,0,0
HAHA2N7Q,1,0,0,0,0,0,0,0
HAHA2N85,1,0,0,0,0,0,0,0
HAHA2N87,1,0,0,0,0,0,0,0
HAHA2N9E,1,0,0,0,0,0,0,0
HAHA2N9P,1,0,0,0,0,0,0,0
HAHA2NCV,1,0,0,0,0,0,0,0
HAHA2NJ8,1,0,0,0,0,0,0,0
HAHA2NPI,1,0,0,0,0,0,0,0
HAHA2NQJ,1,0,0,0,0,0,0,0
HAHA2NQO,1,0,0,0,0,0,0,0
HAHA2NR1,1,0,0,0,0,0,0,0
HAHA2NT,1,0,0,0,0,0,0,0
HAHA2NT3,1,0,0,0,0,0,0,0
HAHA2NTT,1,0,0,0,0,0,0,0
HAHA2O1W,1,0,0,0,0,0,0,0
HAHA2O7B,1,0,0,0,0,0,0,0
HAHA2O7P,1,0,0,0,0,0,0,0
HAHA2OA7,1,0,0,0,0,0,0,0
HAHA2OBV,1,0,0,0,0,0,0,0
HAHA2OF6,1,0,0,0,0,0,0,0
HAHA2OFZ,1,0,0,0,0,0,0,0
HAHA2OIX,1,0,0,0,0,0,0,0
HAHA2OJU,1,0,0,0,0,0,0,0
HAHA2OLG,1,0,0,0,0,0,0,0
HAHA2OTL,1,0,0,0,0,0,0,0
HAHA2OX3,1,0,0,0,0,0,0,0
HAHA2P3E,1,0,0,0,0,0,0,0
HAHA2PB4,1,0,0,0,0,0,0,0
HAHA2PBY,1,0,0,0,0,0,0,0
HAHA2PE,1,0,0,0,0,0,0,0
HAHA2PFU,1,0,0,0,0,0,0,0
HAHA2PI3,1,0,0,0,0,0,0,0
HAHA2PIC,1,0,0,0,0,0,0,0
HAHA2PIY,1,0,0,0,0,0,0,0
HAHA2PJ9,1,0,0,0,0,0,0,0
HAHA2PNB,1,0,0,0,0,0,0,0
HAHA2PQA,1,0,0,0,0,0,0,0
HAHA2PTG,1,0,0,0,0,0,0,0
HAHA2PUB,1,0,0,0,0,0,0,0
HAHA2PUF,1,0,0,0,0,0,0,0
HAHA2PX8,1,0,0,0,0,0,0,0
HAHA2Q61,1,0,0,0,0,0,0,0
HAHA2QDQ,1,0,0,0,0,0,0,0
HAHA2QE3,1,0,0,0,0,0,0,0
HAHA2QF3,1,0,0,0,0,0,0,0
HAHA2QKS,1,0,0,0,0,0,0,0
HAHA2QL5,1,0,0,0,0,0,0,0
HAHA2QPS,1,0,0,0,0,0,0,0
HAHA2QRL,1,0,0,0,0,0,0,0
HAHA2QVC,1,0,0,0,0,0,0,0
HAHA2QXJ,1,0,0,0,0,0,0,0
HAHA2QY,1,0,0,0,0,0,0,0
HAHA2QYH,1,0,0,0,0,0,0,0
HAHA2QZI,1,0,0,0,0,0,0,0
HAHA2QZO,1,0,0,0,0,0,0,0
HAHA2R1W,1,0,0,0,0,0,0,0
HAHA2RE6,1,0,0,0,0,0,0,0
HAHA2REK,1,0,0,0,0,0,0,0
HAHA2RL1,1,0,0,0,0,0,0,0
HAHA2RPV,1,0,0,0,0,0,0,0
HAHA2RU3,1,0,0,0,0,0,0,0
HAHA2RZ2,1,0,0,0,0,0,0,0
HAHA2S3Q,1,0,0,0,0,0,0,0
HAHA2S8V,1,0,0,0,0,0,0,0
HAHA2SDC,1,0,0,0,0,0,0,0
HAHA2SGD,1,0,0,0,0,0,0,0
HAHA2SGF,1,0,0,0,0,0,0,0
HAHA2SGQ,1,0,0,0,0,0,0,0
HAHA2SLT,1,0,0,0,0,0,0,0
HAHA2SMA,1,0,0,0,0,0,0,0
HAHA2SP1,1,0,0,0,0,0,0,0
HAHA2SPE,1,0,0,0,0,0,0,0
HAHA2STD,1,0,0,0,0,0,0,0
HAHA2SYY,1,0,0,0,0,0,0,0
HAHA2SZZ,1,0,0,0,0,0,0,0
HAHA2T2G,1,0,0,0,0,0,0,0
HAHA2T5,1,0,0,0,0,0,0,0
HAHA2TCX,1,0,0,0,0,0,0,0
HAHA2TEP,1,0,0,0,0,0,0,0
HAHA2TFT,1,0,0,0,0,0,0,0
HAHA2TRA,1,0,0,0,0,0,0,0
HAHA2TRD,1,0,0,0,0,0,0,0
HAHA2TT8,1,0,0,0,0,0,0,0
HAHA2TXU,1,0,0,0,0,0,0,0
HAHA2U59,1,0,0,0,0,0,0,0
HAHA2U9A,1,0,0,0,0,0,0,0
HAHA2UB2,1,0,0,0,0,0,0,0
HAHA2UBU,1,0,0,0,0,0,0,0
HAHA2UFP,1,0,0,0,0,0,0,0
HAHA2UGJ,1,0,0,0,0,0,0,0
HAHA2UPJ,1,0,0,0,0,0,0,0
HAHA2US3,1,0,0,0,0,0,0,0
HAHA2USF,1,0,0,0,0,0,0,0
HAHA2VG4,1,0,0,0,0,0,0,0
HAHA2VGT,1,0,0,0,0,0,0,0
HAHA2VHB,1,0,0,0,0,0,0,0
HAHA2VJ9,1,0,0,0,0,0,0,0
HAHA2VN5,1,0,0,0,0,0,0,0
